Date,Open,High,Low,Close,Volume,Change
2017-09-20,22273,23076,19899,19899,1403208,
2017-09-21,20333,21337,19899,20668,400088,0.03864515804814306
2017-09-22,20735,21036,19062,19297,236933,-0.06633443003677186
2017-09-25,19297,19497,16889,17090,300161,-0.11437010934342129
2017-09-26,17056,17323,16086,16187,211749,-0.052837916910474014
2017-09-27,16186,17658,15751,16454,250991,0.016494717983567053
2017-09-28,16521,16721,15751,15886,118701,-0.03452048134192298
2017-09-29,15818,16755,15283,15819,243916,-0.004217550044063989
2017-10-10,15852,16721,15785,16354,96758,0.033820089765471906
2017-10-11,16353,17390,16153,17190,135309,0.051118992295462906
2017-10-12,17190,17256,16721,16722,62053,-0.027225130890052407
2017-10-13,16721,17022,16019,16020,70816,-0.041980624327233595
2017-10-16,16153,16688,14782,16220,82830,0.012484394506866447
2017-10-17,16387,16922,16253,16321,44497,0.006226880394574641
2017-10-18,16387,16554,15818,15919,44235,-0.024630843698302818
2017-10-19,15919,16922,15919,16521,75576,0.037816445756643
2017-10-20,16521,16721,15885,15919,106967,-0.03643847224744268
2017-10-23,16052,16253,15885,15953,60756,0.002135812551039562
2017-10-24,16119,16420,15885,16220,43077,0.016736663950354114
2017-10-25,17190,18594,16889,18260,502013,0.12577065351418004
2017-10-26,18226,20969,17825,19130,526127,0.047645125958379
2017-10-27,19497,19598,18226,19230,122690,0.005227391531625658
2017-10-30,19230,19698,18728,19163,95830,-0.003484139365574568
2017-10-31,19397,20333,18929,20200,165292,0.05411470020351716
2017-11-01,19932,20735,19631,20334,129184,0.0066336633663366396
2017-11-02,20367,20434,19598,19598,99653,-0.03619553457263691
2017-11-03,19598,21805,19129,21672,396705,0.10582712521685878
2017-11-06,21738,21972,21136,21170,145431,-0.023163528977482417
2017-11-07,21169,21537,20668,20936,67057,-0.01105337742087864
2017-11-08,21069,22306,20233,20936,192048,0.0
2017-11-09,20969,21504,20701,20802,44888,-0.006400458540313347
