Date,Open,High,Low,Close,Volume,Change
2016-11-10,135000,148000,125500,144000,7179018,
2016-11-11,149500,186500,142000,161500,8140539,0.12152777777777768
2016-11-14,165000,177500,165000,175500,2977177,0.08668730650154788
2016-11-15,179000,181500,162500,166000,2592949,-0.054131054131054124
2016-11-16,168500,173000,163500,170000,1660976,0.024096385542168752
2016-11-17,176500,177500,167500,167500,912260,-0.014705882352941124
2016-11-18,167000,168000,157500,168000,1312450,0.0029850746268655914
2016-11-21,167500,172000,164000,169000,642124,0.005952380952380931
2016-11-22,170000,174000,169000,171000,568241,0.01183431952662728
2016-11-23,172500,172500,165000,166000,459085,-0.0292397660818714
2016-11-24,165000,165500,155500,155500,837894,-0.06325301204819278
2016-11-25,154000,163500,153000,162000,702370,0.04180064308681675
2016-11-28,161000,165500,159000,161500,411331,-0.0030864197530864335
2016-11-29,157500,159000,151000,157000,893920,-0.02786377708978327
2016-11-30,156000,158500,150500,154000,2444923,-0.019108280254777066
2016-12-01,153500,154000,144000,144500,852285,-0.06168831168831168
2016-12-02,144500,146000,139000,142000,702548,-0.01730103806228378
2016-12-05,143500,146500,142000,142000,406959,0.0
2016-12-06,142500,148000,142500,146000,409654,0.028169014084507005
2016-12-07,146500,152000,146500,150500,345673,0.03082191780821919
2016-12-08,152500,154500,147000,150500,359764,0.0
2016-12-09,150500,150500,144500,145000,288245,-0.03654485049833889
2016-12-12,145000,148000,142500,143000,314792,-0.01379310344827589
2016-12-13,143500,145500,141000,145500,240688,0.0174825174825175
2016-12-14,147000,147000,142500,143500,185937,-0.013745704467353903
2016-12-15,142500,144000,141000,142500,202359,-0.006968641114982632
2016-12-16,143000,144500,141500,144500,232511,0.01403508771929829
2016-12-19,144000,151000,143000,150000,354223,0.03806228373702414
2016-12-20,151500,153500,150000,151500,266217,0.010000000000000009
2016-12-21,152500,153000,148000,148000,147143,-0.02310231023102305
2016-12-22,148000,149000,144000,144000,155240,-0.027027027027026973
2016-12-23,144000,146500,144000,144000,86513,0.0
2016-12-26,145000,145500,144000,144000,62989,0.0
2016-12-27,144000,147000,144000,145500,107780,0.01041666666666674
2016-12-28,147500,155000,147000,152000,316778,0.04467353951890041
2016-12-29,151000,152500,149500,151000,125878,-0.006578947368421018
2017-01-02,151500,158000,151000,156500,242245,0.036423841059602724
2017-01-03,156500,158000,154500,158000,163655,0.009584664536741228
2017-01-04,159500,161000,154500,154500,180143,-0.022151898734177222
2017-01-05,156000,158000,156000,157500,96008,0.01941747572815533
2017-01-06,158000,158500,155500,157500,88105,0.0
2017-01-09,157500,158000,153000,154500,124880,-0.01904761904761909
2017-01-10,154000,154000,150500,151000,156701,-0.02265372168284785
2017-01-11,151500,161000,151500,159000,353023,0.052980132450331174
2017-01-12,157500,158500,154500,157000,151742,-0.012578616352201255
2017-01-13,155000,158000,152500,153000,185131,-0.02547770700636942
2017-01-16,154000,154500,151000,151500,125534,-0.009803921568627416
2017-01-17,151000,154000,150000,152000,110949,0.0033003300330032292
2017-01-18,153000,153500,152000,153000,73671,0.006578947368421018
2017-01-19,155500,156500,152000,152500,96398,-0.0032679738562091387
2017-01-20,152500,155500,152000,155000,79754,0.016393442622950838
2017-01-23,156000,156500,154000,155500,89506,0.003225806451612856
2017-01-24,155500,156000,152500,155000,112281,-0.003215434083601254
2017-01-25,156000,156500,152500,155000,140686,0.0
2017-01-26,156500,164000,155500,161000,407193,0.03870967741935494
2017-01-31,162000,164000,160500,161000,228987,0.0
2017-02-01,162000,163000,159500,163000,138216,0.012422360248447228
2017-02-02,163500,173000,162500,171500,597838,0.0521472392638036
2017-02-03,173500,176500,171500,173000,399421,0.008746355685131268
2017-02-06,172000,172500,167000,168500,251528,-0.026011560693641633
2017-02-07,168500,172500,167000,171500,212751,0.017804154302670572
2017-02-08,171500,172000,161500,163000,374070,-0.04956268221574345
2017-02-09,163000,166000,160500,161000,219373,-0.012269938650306789
2017-02-10,160000,161000,156000,158000,704753,-0.018633540372670843
2017-02-13,156000,159500,155500,158000,177206,0.0
2017-02-14,158000,159500,156500,156500,150832,-0.009493670886076
2017-02-15,156000,161500,156000,160500,130426,0.025559105431310014
2017-02-16,161000,162500,158500,159000,132573,-0.009345794392523366
2017-02-17,155500,160500,155000,160500,192999,0.009433962264151052
2017-02-20,159500,161500,159000,161000,76203,0.0031152647975076775
2017-02-21,161000,166000,160500,165500,163959,0.02795031055900621
2017-02-22,166500,167000,164000,165000,106637,-0.0030211480362537513
2017-02-23,165000,168000,165000,168000,144561,0.018181818181818077
2017-02-24,167500,168000,165000,165500,84069,-0.014880952380952328
2017-02-27,167000,167500,164000,166500,89333,0.0060422960725075026
2017-02-28,167000,168000,162500,164500,151499,-0.012012012012011963
2017-03-02,165000,166000,161000,161500,151100,-0.018237082066869248
2017-03-03,161500,163000,160500,162000,73606,0.003095975232198178
2017-03-06,162500,165500,162000,164500,93995,0.015432098765432167
2017-03-07,164500,168000,163500,168000,137830,0.02127659574468077
2017-03-08,169000,172000,168000,170000,271238,0.011904761904761862
2017-03-09,170000,171000,168000,168000,109589,-0.0117647058823529
2017-03-10,168000,171000,167000,171000,149330,0.017857142857142794
2017-03-13,170000,173000,169500,173000,137838,0.011695906432748648
2017-03-14,172500,175000,170000,171000,133248,-0.011560693641618491
2017-03-15,171000,173500,168500,173500,133554,0.014619883040935644
2017-03-16,174000,176500,174000,176500,189001,0.01729106628242083
2017-03-17,176000,181000,175500,180500,302822,0.022662889518413554
2017-03-20,180000,188000,177000,187500,362620,0.03878116343490312
2017-03-21,187500,199500,186500,193000,495295,0.029333333333333433
2017-03-22,189000,195000,186000,188000,341350,-0.025906735751295318
2017-03-23,190000,193000,184000,187000,282973,-0.005319148936170248
2017-03-24,187000,192000,185500,187500,189997,0.002673796791443861
2017-03-27,186500,187500,181000,182000,176930,-0.029333333333333322
2017-03-28,184000,186500,182500,185000,105091,0.016483516483516425
2017-03-29,187000,188500,183000,183500,119613,-0.008108108108108136
2017-03-30,177000,180000,173000,177000,595964,-0.03542234332425065
